altman_score,piotroski_score,involvement_msci.Controversial Weapons,involvement_msci.Gambling,involvement_msci.Tobacco Products,involvement_msci.Alcoholic Beverages,Controversies_score_ESG,global_target_aligned,SBTI_reduction_aligned,Tempurature_aligned
2.79,6.0,0.0,0.0,0.0,0.0,6.0,1,1,0
1.2,5.0,0.0,0.0,0.0,0.0,0.0,1,0,1
0.4,2.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1.44,5.0,0.0,0.0,0.0,0.0,2.0,0,0,0
3.35,6.0,0.0,0.0,0.0,0.0,0.0,1,1,0
6.33,8.0,0.0,0.0,0.0,1.0,0.0,1,0,0
8.27,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.63,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
7.44,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4.84,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.29,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
6.6,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
6.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.62,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
6.06,6.0,0.0,0.0,0.0,0.0,0.0,1,0,0
-33.88,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.74,5.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1.64,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.4,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.13,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.79,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-7.51,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0
-11.49,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-3.44,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.03,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4.33,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5.21,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.21,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.43,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.48,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0
